# avg_degree,99.0
# msgs_per_node_per_step,99.0
# total_msgs_per_step,9900.0
# steps_per_epoch,5.0
# total_msgs_per_epoch,49500.0
epoch,mean,median,min,max,std
68,0.8941999999999998,0.8942,0.8942,0.8942,2.220446049250313e-16
69,0.8942999999999999,0.8943,0.8943,0.8943,1.1102230246251565e-16
70,0.8946,0.8946,0.8946,0.8946,0.0
71,0.8946,0.8946,0.8946,0.8946,0.0
72,0.8947000000000002,0.8947,0.8947,0.8947,1.1102230246251565e-16
73,0.8949999999999996,0.895,0.895,0.895,4.440892098500626e-16
74,0.8957999999999997,0.8958,0.8958,0.8958,3.3306690738754696e-16
75,0.8964,0.8964,0.8964,0.8964,0.0
76,0.8961000000000002,0.8961,0.8961,0.8961,2.220446049250313e-16
77,0.8962999999999998,0.8963,0.8963,0.8963,2.220446049250313e-16
78,0.8961999999999999,0.8962,0.8962,0.8962,1.1102230246251565e-16
79,0.8961000000000002,0.8961,0.8961,0.8961,2.220446049250313e-16
80,0.8960000000000002,0.896,0.896,0.896,2.220446049250313e-16
81,0.8965,0.8965,0.8965,0.8965,0.0
82,0.8971999999999999,0.8972,0.8972,0.8972,1.1102230246251565e-16
83,0.8970000000000004,0.897,0.897,0.897,3.3306690738754696e-16
84,0.8977000000000003,0.8977,0.8977,0.8977,2.220446049250313e-16
85,0.8977000000000003,0.8977,0.8977,0.8977,2.220446049250313e-16
86,0.8978000000000002,0.8978,0.8978,0.8978,1.1102230246251565e-16
87,0.8980999999999999,0.8981,0.8981,0.8981,1.1102230246251565e-16
88,0.8979000000000004,0.8979,0.8979,0.8979,3.3306690738754696e-16
89,0.8978000000000002,0.8978,0.8978,0.8978,1.1102230246251565e-16
90,0.8979000000000004,0.8979,0.8979,0.8979,3.3306690738754696e-16
91,0.8979000000000004,0.8979,0.8979,0.8979,3.3306690738754696e-16
92,0.8985000000000001,0.8985,0.8985,0.8985,1.1102230246251565e-16
93,0.8987000000000002,0.8987,0.8987,0.8987,1.1102230246251565e-16
94,0.8987000000000002,0.8987,0.8987,0.8987,1.1102230246251565e-16
95,0.8987999999999995,0.8988,0.8988,0.8988,5.551115123125783e-16
96,0.8992,0.8992,0.8992,0.8992,0.0
97,0.8988999999999998,0.8989,0.8989,0.8989,2.220446049250313e-16
98,0.8990000000000004,0.899,0.899,0.899,3.3306690738754696e-16
99,0.8994,0.8994,0.8994,0.8994,0.0
100,0.8992999999999999,0.8993,0.8993,0.8993,1.1102230246251565e-16
# epochs_to_reach
# reach_70%,2
# reach_75%,3
